di,的 地 第 提 低 底 帝 敌 弟 抵 隶 滴 递 涤
de,的 得 德
yi,一 以 义 意 已 议 易 艺 益 依 移 乙 医 异 衣 宜 伊 亦 遗 亿 仪 尾 隶 疑 忆 役 译 毅 翼 抑 谊 疫
ti, 体 提 题 替 梯
shi,是 时 十 实 使 事 式 世 什 示 石 史 市 始 识 适 势 师 施 士 视 试 食 似 室 诗 湿 释 氏 蚀 驶 尸 饰
zai,在 再 载 灾 栽 仔
fou,否
bu,不 部 步 布 补 薄 捕 埔
fu,复 府 服 负 夫 富 副 附 父 福 符 幅 妇 付 浮 腐 伏 抚 辅 赋 扶 覆 赴 傅 腹
liao,了 料 疗 僚 辽 
le,了 乐 勒 
wei,为 位 委 维 围 未 微 卫 味 谓 威 危 伟 唯 尾 违 魏 喂 纬 伪 慰 韦
you,有 由 又 油 右 优 友 游 幼 尤 忧 邮
huo,和 或 活 火 货 获 伙 霍 祸
he,和 合 何 河 核 荷 贺 喝 赫 呵
hu,和 护 互 核 湖 乎 呼 胡 户 忽 弧 虎 糊
ren,人 任 认 忍 仁
zhe,这 着 者 折 哲 浙
zhong,中 种 重 众 终 钟 仲 忠
tai,太 台 态 泰 抬 胎
da,大 打 达 答 搭
dai,大 代 带 待 隶 袋 戴 呆 贷 逮
shang,上 商 伤 尚 赏
gan,干 感 杆 赶 敢 甘
ge,个 各 革 格 歌 哥 割 隔 戈 阁
guo,国 过 果 活 锅 郭
wo,我 握 窝 
si,四 思 斯 死 食 司 似 丝 私 饲 寺
yao,要 药 摇 腰 咬 邀 姚 耀
ta,他 它 她 塔 踏
tuo,脱 托 拖 妥
lai,来 赖 莱 
yong,用 永 勇 拥 涌
men,们 门 闷 
sheng,生 声 省 升 胜 盛 绳 剩 圣 牲
dao,到 道 导 倒 刀 稻 岛 盗
zuo,作 做 左 坐 座 昨 
yu,于 与 育 鱼 余 预 语 雨 玉 域 遇 予 愈 欲 渔 宇 狱 御 羽 裕
xu,许 需 须 续 序 徐 虚 绪 蓄 叙
chu,出 处 除 助 初 础 触 楚 储 畜 雏
jiu,就 九 究 久 旧 酒 救 纠 
fen,分 粉 份 奋 纷 愤 酚 粪
ban,半 办 般 板 班 版 伴 搬 斑 拌
dui,对 队 堆
cheng,成 程 称 城 承 盛 乘 呈 诚 惩 撑
hui,会 回 挥 灰 恢 汇 毁 辉 绘 徽 惠
kuai,快 块
ke,可 科 克 客 刻 课 颗 壳 柯
zhu,主 住 注 助 逐 筑 猪 朱 驻 柱 株 铸 珠 竹 贮 诸 祝 煮
fa,发 法 阀 罚 乏 伐
nian,年 念 粘 
ning,宁 凝
dong,动 东 冬 洞 懂 冻 董
tong,同 通 统 铜 痛 筒 童 捅
gong,工 公 共 供 功 攻 贡 宫 巩 弓
ye,也 业 液 叶 夜 野 爷 页 冶
neng,能
xiong,雄 兄 胸 凶 熊
nai,耐 奶 乃
xia,下 夏 虾 峡 霞 辖
zi,子 自 资 字 紫 仔 姿 咨
shuo,说
shui,水 谁 税 睡
yue,月 越 约 乐 跃 阅 曰
chan,产
chong,重 充 冲 虫 崇
mian,面 免 棉 
er,而 二 儿 尔 耳 铒 
pang,旁
fang,方 放 防 房 访 纺 芳 仿 妨 
feng,风 封 丰 峰 锋 缝 凤 奉 冯 疯
wang,往 王 望 亡 网 忘 旺 汪
hou,后 候 厚 
duo,多 夺 朵
ding,定 顶 丁 订 钉 锭
xing,行 性 形 型 兴 刑 星 幸 姓 醒
heng,衡 横 恒
hang,行 航 杭
xue,学 雪 削
suo,所 缩 索 锁
min,民 敏 
dei,得 
jing,经 精 京 径 境 井 静 景 晶 竟 惊 警 净 睛 镜 敬 竞 茎
san,三 散 
zhi,之 制 质 只 直 知 指 治 志 至 织 支 值 置 止 致 职 植 纸 执 殖 脂 枝 智 秩 酯 汁 旨
jin,进 金 今 近 仅 紧 尽 斤 禁 津 浸 筋 晋 锦
zhao,着 照 朝 找 赵 召 招 罩
zhuo,着 桌 捉
deng,等 灯 登 邓
du,度 都 独 读 督 毒 渡 杜 肚 堵
zhai,寨 债 摘
jie,结 解 接 阶 节 界 介 借 揭 截 街 姐 洁 届 皆 杰
jia,家 加 价 甲 假 架 夹 钾 驾 佳
