de,的 地 得 德 ,4
yi,一 以 义 意 已 议 易 艺 益 依 移 乙 医 异 衣 宜 伊 亦 遗 亿 仪 疑 忆 役 译 毅 翼 抑 谊 疫 ,30
shi,是 时 十 实 使 事 式 世 示 石 史 市 始 识 适 失 势 师 施 士 视 试 食 似 室 诗 湿 释 氏 蚀 驶 尸 饰 ,33
zai,在 再 载 灾 栽 仔 ,6
bu,不 部 步 布 补 捕 埔 ,7
le,了 乐 ,2
you,有 由 又 油 右 优 友 游 幼 尤 忧 邮 ,12
he,和 合 何 河 核 荷 贺 喝 赫 呵 ,10
ren,人 任 认 忍 仁 ,5
zhe,这 着 者 折 哲 浙 ,6
zhong,中 种 重 众 终 钟 仲 忠 ,8
da,大 打 达 答 搭 ,5
wei,为 位 委 维 围 未 微 卫 味 谓 威 危 伟 唯 尾 违 魏 喂 纬 伪 慰 韦 ,22
shang,上 商 伤 尚 赏 ,5
ge,个 各 革 格 歌 哥 割 隔 戈 阁 ,10
guo,国 过 果 锅 郭 ,5
wo,我 握 窝 ,3
yao,要 药 摇 腰 咬 邀 姚 耀 ,8
ta,他 它 她 塔 踏 ,5
lai,来 赖 莱 ,3
yong,用 永 勇 拥 涌 ,5
men,们 门 闷 ,3
sheng,生 声 省 升 胜 盛 绳 剩 圣 牲 ,10
dao,到 道 导 倒 刀 稻 岛 盗 ,8
zuo,作 做 左 坐 座 昨 ,6
yu,于 与 育 鱼 余 预 语 雨 玉 域 遇 予 愈 欲 渔 宇 狱 御 羽 裕 ,20
chu,出 处 除 初 础 触 楚 储 畜 雏 ,10
jiu,就 九 究 久 旧 酒 救 纠 ,8
fen,分 粉 份 奋 纷 愤 酚 粪 ,8
dui,对 队 堆 ,3
cheng,成 程 称 城 承 乘 呈 诚 惩 撑 ,10
hui,会 回 挥 灰 恢 汇 毁 辉 绘 徽 惠 ,11
ke,可 科 克 客 刻 课 颗 壳 柯 ,9
zhu,主 住 注 助 逐 筑 猪 朱 驻 柱 株 铸 珠 竹 贮 诸 祝 煮 ,18
fa,发 法 阀 罚 乏 伐 ,6
nian,年 念 ,2
dong,动 东 冬 洞 懂 冻 董 ,7
tong,同 通 统 铜 痛 筒 童 捅 ,8
